prompt_id,axis,score
explain_food_recall,brevity_economy,3.25
explain_food_recall,clarity,3.6389
explain_food_recall,humanity_voice,3.2222
explain_food_recall,overall,2.7222
explain_food_recall,simplicity,3.8889
explain_food_recall,specificity_precision,3.6667
explain_food_recall,structure_flow,2.7778
explain_heat_pumps,brevity_economy,3.7778
explain_heat_pumps,clarity,4.1944
explain_heat_pumps,humanity_voice,3.8333
explain_heat_pumps,overall,3.5833
explain_heat_pumps,simplicity,4.3056
explain_heat_pumps,specificity_precision,3.8056
explain_heat_pumps,structure_flow,3.6389
explain_municipal_bonds,brevity_economy,3.6944
explain_municipal_bonds,clarity,4.1944
explain_municipal_bonds,humanity_voice,4.3611
explain_municipal_bonds,overall,3.6667
explain_municipal_bonds,simplicity,4.5833
explain_municipal_bonds,specificity_precision,3.8889
explain_municipal_bonds,structure_flow,3.7222
explain_property_tax,brevity_economy,3.2222
explain_property_tax,clarity,3.7222
explain_property_tax,humanity_voice,3.5278
explain_property_tax,overall,2.5556
explain_property_tax,simplicity,4.1389
explain_property_tax,specificity_precision,3.1389
explain_property_tax,structure_flow,2.6389
howto_neighborhood_meeting,brevity_economy,3.3333
howto_neighborhood_meeting,clarity,3.8333
howto_neighborhood_meeting,humanity_voice,3.6111
howto_neighborhood_meeting,overall,3.1111
howto_neighborhood_meeting,simplicity,3.8889
howto_neighborhood_meeting,specificity_precision,3.7222
howto_neighborhood_meeting,structure_flow,3.1667
howto_report_water_leak,brevity_economy,3.5833
howto_report_water_leak,clarity,4.1944
howto_report_water_leak,humanity_voice,3.6389
howto_report_water_leak,overall,3.3056
howto_report_water_leak,simplicity,4.3056
howto_report_water_leak,specificity_precision,4.0278
howto_report_water_leak,structure_flow,3.4722
howto_school_board_comment,brevity_economy,3.5833
howto_school_board_comment,clarity,4.0556
howto_school_board_comment,humanity_voice,3.6389
howto_school_board_comment,overall,3.1111
howto_school_board_comment,simplicity,4.1944
howto_school_board_comment,specificity_precision,3.9167
howto_school_board_comment,structure_flow,3.3056
memo_budget_freeze,brevity_economy,3.4722
memo_budget_freeze,clarity,3.9444
memo_budget_freeze,humanity_voice,2.9444
memo_budget_freeze,overall,3.1667
memo_budget_freeze,simplicity,3.6667
memo_budget_freeze,specificity_precision,3.75
memo_budget_freeze,structure_flow,3.5278
memo_incident_response,brevity_economy,3.8056
