candidate_model_id,clarity,simplicity,brevity_economy,structure_flow,specificity_precision,humanity_voice,overall
anthropic/claude-opus-4.6,4.7417,4.5667,4.1917,3.9833,4.6667,4.6167,4.025
anthropic/claude-sonnet-4.6,4.6667,4.5667,4.2167,3.85,4.6167,4.5,3.8333
deepseek/deepseek-v3.2,4.6167,4.25,3.9833,3.7667,4.2667,4.1833,3.7
google/gemini-3.1-flash-lite-preview,1.8833,2.6333,1.45,1.1333,1.5167,2.2167,1.0667
google/gemini-3.1-pro-preview,1.3,1.9833,1.2167,1.0167,1.6,1.65,1.05
minimax/minimax-m2.5,4.55,4.5167,3.9667,3.7,4.0167,4.2333,3.5167
moonshotai/kimi-k2.5,4.1833,4.1167,3.6333,3.1333,4.0833,4.1,3.1
openai/gpt-5.3-chat,4.8333,4.7667,4.4,4.3,4.35,4.25,4.1833
openai/gpt-5.4,4.575,4.6333,4.1,3.5333,4.1333,4.1833,3.5167
qwen/qwen3.5-35b-a3b,3.2667,3.1,2.8,2.6333,3.1333,2.85,2.5333
x-ai/grok-4.1-fast,4.625,4.0333,3.9,3.7167,4.5917,4.2583,3.7917
z-ai/glm-5,4.7333,4.3833,4.2167,4.1833,4.5167,4.4833,4.05
