candidate_model_id,prompt_id,prompt_category,word_count,minimum_words,status,reason
anthropic/claude-opus-4.6,explain_food_recall,explain,1112,120,ok,
anthropic/claude-opus-4.6,explain_heat_pumps,explain,398,120,ok,
anthropic/claude-opus-4.6,explain_municipal_bonds,explain,807,120,ok,
anthropic/claude-opus-4.6,explain_property_tax,explain,1688,120,ok,
anthropic/claude-opus-4.6,howto_neighborhood_meeting,service_howto,2585,140,ok,
anthropic/claude-opus-4.6,howto_report_water_leak,service_howto,2819,120,ok,
anthropic/claude-opus-4.6,howto_school_board_comment,service_howto,2615,140,ok,
anthropic/claude-opus-4.6,memo_budget_freeze,memo,947,100,ok,
anthropic/claude-opus-4.6,memo_incident_response,memo,607,100,ok,
anthropic/claude-opus-4.6,memo_remote_work_policy,memo,764,100,ok,
anthropic/claude-opus-4.6,memo_schedule_change,memo,398,100,ok,
anthropic/claude-opus-4.6,oped_bus_lanes,persuasion_oped,997,200,ok,
anthropic/claude-opus-4.6,oped_corner_store,persuasion_oped,1072,200,ok,
anthropic/claude-opus-4.6,oped_library_hours,persuasion_oped,787,200,ok,
anthropic/claude-opus-4.6,personal_first_day_union_job,personal_nonfiction,1551,200,ok,
anthropic/claude-opus-4.6,personal_night_shift_bus,personal_nonfiction,1711,200,ok,
anthropic/claude-opus-4.6,personal_public_pool,personal_nonfiction,2379,200,ok,
anthropic/claude-opus-4.6,profile_ferry_captain,profile,1914,200,ok,
anthropic/claude-opus-4.6,profile_public_defender,profile,2540,200,ok,
anthropic/claude-opus-4.6,profile_school_custodian,profile,3400,200,ok,
anthropic/claude-sonnet-4.6,explain_food_recall,explain,862,120,ok,
anthropic/claude-sonnet-4.6,explain_heat_pumps,explain,493,120,ok,
anthropic/claude-sonnet-4.6,explain_municipal_bonds,explain,860,120,ok,
anthropic/claude-sonnet-4.6,explain_property_tax,explain,1096,120,ok,
anthropic/claude-sonnet-4.6,howto_neighborhood_meeting,service_howto,1399,140,ok,
anthropic/claude-sonnet-4.6,howto_report_water_leak,service_howto,1538,120,ok,
anthropic/claude-sonnet-4.6,howto_school_board_comment,service_howto,1605,140,ok,
anthropic/claude-sonnet-4.6,memo_budget_freeze,memo,869,100,ok,
anthropic/claude-sonnet-4.6,memo_incident_response,memo,672,100,ok,
anthropic/claude-sonnet-4.6,memo_remote_work_policy,memo,1164,100,ok,
anthropic/claude-sonnet-4.6,memo_schedule_change,memo,463,100,ok,
anthropic/claude-sonnet-4.6,oped_bus_lanes,persuasion_oped,773,200,ok,
anthropic/claude-sonnet-4.6,oped_corner_store,persuasion_oped,989,200,ok,
anthropic/claude-sonnet-4.6,oped_library_hours,persuasion_oped,948,200,ok,
anthropic/claude-sonnet-4.6,personal_first_day_union_job,personal_nonfiction,1329,200,ok,
anthropic/claude-sonnet-4.6,personal_night_shift_bus,personal_nonfiction,1674,200,ok,
anthropic/claude-sonnet-4.6,personal_public_pool,personal_nonfiction,1257,200,ok,
anthropic/claude-sonnet-4.6,profile_ferry_captain,profile,1360,200,ok,
