candidate_model_id,prompt_category,score
anthropic/claude-opus-4.6,explain,4.8333
anthropic/claude-opus-4.6,memo,4.8333
anthropic/claude-opus-4.6,personal_nonfiction,4.8571
anthropic/claude-opus-4.6,persuasion_oped,4.873
anthropic/claude-opus-4.6,profile,4.7778
anthropic/claude-opus-4.6,service_howto,4.6825
anthropic/claude-sonnet-4.6,explain,4.869
anthropic/claude-sonnet-4.6,memo,4.8333
anthropic/claude-sonnet-4.6,personal_nonfiction,4.7937
anthropic/claude-sonnet-4.6,persuasion_oped,4.8254
anthropic/claude-sonnet-4.6,profile,4.873
anthropic/claude-sonnet-4.6,service_howto,4.8254
deepseek/deepseek-v3.2,explain,4.7232
deepseek/deepseek-v3.2,memo,4.5982
deepseek/deepseek-v3.2,personal_nonfiction,4.7262
deepseek/deepseek-v3.2,persuasion_oped,4.4762
deepseek/deepseek-v3.2,profile,4.6071
deepseek/deepseek-v3.2,service_howto,4.7976
google/gemini-3.1-flash-lite-preview,explain,4.6429
google/gemini-3.1-flash-lite-preview,memo,4.5476
google/gemini-3.1-flash-lite-preview,personal_nonfiction,4.4603
google/gemini-3.1-flash-lite-preview,persuasion_oped,4.4127
google/gemini-3.1-flash-lite-preview,profile,4.6032
google/gemini-3.1-flash-lite-preview,service_howto,4.7143
google/gemini-3.1-pro-preview,explain,4.6786
google/gemini-3.1-pro-preview,memo,4.6667
google/gemini-3.1-pro-preview,personal_nonfiction,4.7619
google/gemini-3.1-pro-preview,persuasion_oped,4.5873
google/gemini-3.1-pro-preview,profile,4.8095
google/gemini-3.1-pro-preview,service_howto,4.8095
minimax/minimax-m2.5,explain,4.7411
minimax/minimax-m2.5,memo,4.4464
minimax/minimax-m2.5,personal_nonfiction,4.7024
minimax/minimax-m2.5,persuasion_oped,4.4762
minimax/minimax-m2.5,profile,4.7262
minimax/minimax-m2.5,service_howto,4.7381
moonshotai/kimi-k2.5,explain,4.8571
moonshotai/kimi-k2.5,memo,4.8125
moonshotai/kimi-k2.5,personal_nonfiction,4.7976
moonshotai/kimi-k2.5,persuasion_oped,4.7976
moonshotai/kimi-k2.5,profile,4.8095
moonshotai/kimi-k2.5,service_howto,4.7143
openai/gpt-5.3-chat,explain,4.6667
openai/gpt-5.3-chat,memo,4.7262
openai/gpt-5.3-chat,personal_nonfiction,4.9206
openai/gpt-5.3-chat,persuasion_oped,4.7778
openai/gpt-5.3-chat,profile,4.9524
openai/gpt-5.3-chat,service_howto,4.7778
openai/gpt-5.4,explain,4.7857
openai/gpt-5.4,memo,4.4524
openai/gpt-5.4,personal_nonfiction,4.8571
openai/gpt-5.4,persuasion_oped,4.7778
openai/gpt-5.4,profile,4.7619
openai/gpt-5.4,service_howto,4.7302
qwen/qwen3.5-35b-a3b,explain,4.3929
qwen/qwen3.5-35b-a3b,memo,4.1607
qwen/qwen3.5-35b-a3b,personal_nonfiction,3.6548
qwen/qwen3.5-35b-a3b,persuasion_oped,4.3214
qwen/qwen3.5-35b-a3b,profile,4.4881
qwen/qwen3.5-35b-a3b,service_howto,4.4405
x-ai/grok-4.1-fast,explain,4.6875
x-ai/grok-4.1-fast,memo,4.75
x-ai/grok-4.1-fast,personal_nonfiction,4.3929
x-ai/grok-4.1-fast,persuasion_oped,4.5119
x-ai/grok-4.1-fast,profile,4.5476
x-ai/grok-4.1-fast,service_howto,4.6667
z-ai/glm-5,explain,4.7381
z-ai/glm-5,memo,4.5357
z-ai/glm-5,personal_nonfiction,4.6984
z-ai/glm-5,persuasion_oped,4.6032
z-ai/glm-5,profile,4.7937
z-ai/glm-5,service_howto,4.7619
