candidate_model_id,axis,score
anthropic/claude-opus-4.6,brevity_economy,4.1667
anthropic/claude-opus-4.6,clarity,4.6667
anthropic/claude-opus-4.6,humanity_voice,4.55
anthropic/claude-opus-4.6,overall,3.95
anthropic/claude-opus-4.6,simplicity,4.4833
anthropic/claude-opus-4.6,specificity_precision,4.65
anthropic/claude-opus-4.6,structure_flow,3.85
anthropic/claude-sonnet-4.6,brevity_economy,4.3
anthropic/claude-sonnet-4.6,clarity,4.6833
anthropic/claude-sonnet-4.6,humanity_voice,4.5667
anthropic/claude-sonnet-4.6,overall,3.8833
anthropic/claude-sonnet-4.6,simplicity,4.5833
anthropic/claude-sonnet-4.6,specificity_precision,4.6167
anthropic/claude-sonnet-4.6,structure_flow,3.8667
deepseek/deepseek-v3.2,brevity_economy,4.0333
deepseek/deepseek-v3.2,clarity,4.65
deepseek/deepseek-v3.2,humanity_voice,4.2833
deepseek/deepseek-v3.2,overall,3.8
deepseek/deepseek-v3.2,simplicity,4.3167
deepseek/deepseek-v3.2,specificity_precision,4.3167
deepseek/deepseek-v3.2,structure_flow,3.95
google/gemini-3.1-flash-lite-preview,brevity_economy,4.25
google/gemini-3.1-flash-lite-preview,clarity,4.9833
google/gemini-3.1-flash-lite-preview,humanity_voice,4.4167
google/gemini-3.1-flash-lite-preview,overall,4.65
google/gemini-3.1-flash-lite-preview,simplicity,4.1833
google/gemini-3.1-flash-lite-preview,specificity_precision,4.3333
google/gemini-3.1-flash-lite-preview,structure_flow,5.0
google/gemini-3.1-pro-preview,brevity_economy,4.3
google/gemini-3.1-pro-preview,clarity,5.0
google/gemini-3.1-pro-preview,humanity_voice,4.7167
google/gemini-3.1-pro-preview,overall,4.9167
google/gemini-3.1-pro-preview,simplicity,4.2833
google/gemini-3.1-pro-preview,specificity_precision,4.7833
google/gemini-3.1-pro-preview,structure_flow,5.0
minimax/minimax-m2.5,brevity_economy,4.0526
minimax/minimax-m2.5,clarity,4.614
minimax/minimax-m2.5,humanity_voice,4.3333
minimax/minimax-m2.5,overall,3.7193
minimax/minimax-m2.5,simplicity,4.5439
minimax/minimax-m2.5,specificity_precision,4.1404
minimax/minimax-m2.5,structure_flow,3.8596
moonshotai/kimi-k2.5,brevity_economy,4.4035
moonshotai/kimi-k2.5,clarity,4.7895
moonshotai/kimi-k2.5,humanity_voice,4.614
moonshotai/kimi-k2.5,overall,4.2632
moonshotai/kimi-k2.5,simplicity,4.2807
moonshotai/kimi-k2.5,specificity_precision,4.7193
moonshotai/kimi-k2.5,structure_flow,4.3158
openai/gpt-5.3-chat,brevity_economy,4.45
openai/gpt-5.3-chat,clarity,4.8
openai/gpt-5.3-chat,humanity_voice,4.35
openai/gpt-5.3-chat,overall,4.3
openai/gpt-5.3-chat,simplicity,4.8167
openai/gpt-5.3-chat,specificity_precision,4.45
openai/gpt-5.3-chat,structure_flow,4.25
openai/gpt-5.4,brevity_economy,4.1833
openai/gpt-5.4,clarity,4.6333
openai/gpt-5.4,humanity_voice,4.4
openai/gpt-5.4,overall,3.8
openai/gpt-5.4,simplicity,4.6833
openai/gpt-5.4,specificity_precision,4.3167
openai/gpt-5.4,structure_flow,3.7167
qwen/qwen3.5-35b-a3b,brevity_economy,2.75
qwen/qwen3.5-35b-a3b,clarity,3.25
qwen/qwen3.5-35b-a3b,humanity_voice,2.8667
qwen/qwen3.5-35b-a3b,overall,2.5333
qwen/qwen3.5-35b-a3b,simplicity,3.2167
qwen/qwen3.5-35b-a3b,specificity_precision,3.1833
qwen/qwen3.5-35b-a3b,structure_flow,2.6167
x-ai/grok-4.1-fast,brevity_economy,4.0
x-ai/grok-4.1-fast,clarity,4.7167
x-ai/grok-4.1-fast,humanity_voice,4.4833
x-ai/grok-4.1-fast,overall,3.8667
x-ai/grok-4.1-fast,simplicity,4.0167
x-ai/grok-4.1-fast,specificity_precision,4.65
x-ai/grok-4.1-fast,structure_flow,3.9
z-ai/glm-5,brevity_economy,4.2105
z-ai/glm-5,clarity,4.7895
z-ai/glm-5,humanity_voice,4.5965
z-ai/glm-5,overall,4.193
z-ai/glm-5,simplicity,4.4211
z-ai/glm-5,specificity_precision,4.6491
z-ai/glm-5,structure_flow,4.2982
