candidate_model_id,clarity,simplicity,brevity_economy,structure_flow,specificity_precision,humanity_voice,overall
anthropic/claude-opus-4.6,2.8167,3.0042,3.1917,3.1083,2.8792,2.8167,3.0042
anthropic/claude-sonnet-4.6,2.9917,2.9917,3.0542,2.9083,3.0542,2.9917,2.9917
deepseek/deepseek-v3.2,3.0458,3.0458,2.9833,2.9625,2.9625,3.0458,3.0458
google/gemini-3.1-flash-lite-preview,2.8958,2.8958,3.1042,3.0208,3.0833,2.8958,2.8958
google/gemini-3.1-pro-preview,3.0,3.0417,3.0208,3.0833,2.8542,3.0,3.0417
minimax/minimax-m2.5,3.1375,2.8667,2.9083,3.1167,2.9708,3.1375,2.8667
moonshotai/kimi-k2.5,3.05,2.9875,3.0083,2.9458,3.0083,3.05,2.9875
openai/gpt-5.3-chat,2.8375,2.9,2.9833,3.0458,3.2333,2.8375,2.9
openai/gpt-5.4,2.9833,3.025,2.9417,2.9625,3.0875,2.9833,3.025
qwen/qwen3.5-35b-a3b,2.9625,2.9417,3.0667,3.025,3.0042,2.9625,2.9417
x-ai/grok-4.1-fast,3.0208,3.0208,3.1042,2.9375,2.9167,3.0208,3.0208
z-ai/glm-5,3.075,2.8458,2.95,2.9917,3.1375,3.075,2.8458
