candidate_model_id,axis,score
anthropic/claude-opus-4.6,brevity_economy,4.2833
anthropic/claude-opus-4.6,clarity,5.0
anthropic/claude-opus-4.6,humanity_voice,4.8667
anthropic/claude-opus-4.6,overall,4.9667
anthropic/claude-opus-4.6,simplicity,4.6333
anthropic/claude-opus-4.6,specificity_precision,4.9333
anthropic/claude-opus-4.6,structure_flow,5.0
anthropic/claude-sonnet-4.6,brevity_economy,4.4833
anthropic/claude-sonnet-4.6,clarity,5.0
anthropic/claude-sonnet-4.6,humanity_voice,4.85
anthropic/claude-sonnet-4.6,overall,5.0
anthropic/claude-sonnet-4.6,simplicity,4.5833
anthropic/claude-sonnet-4.6,specificity_precision,4.95
anthropic/claude-sonnet-4.6,structure_flow,5.0
deepseek/deepseek-v3.2,brevity_economy,4.35
deepseek/deepseek-v3.2,clarity,5.0
deepseek/deepseek-v3.2,humanity_voice,4.5625
deepseek/deepseek-v3.2,overall,4.8125
deepseek/deepseek-v3.2,simplicity,4.25
deepseek/deepseek-v3.2,specificity_precision,4.6125
deepseek/deepseek-v3.2,structure_flow,5.0
google/gemini-3.1-flash-lite-preview,brevity_economy,4.2333
google/gemini-3.1-flash-lite-preview,clarity,5.0
google/gemini-3.1-flash-lite-preview,humanity_voice,4.4333
google/gemini-3.1-flash-lite-preview,overall,4.7167
google/gemini-3.1-flash-lite-preview,simplicity,4.15
google/gemini-3.1-flash-lite-preview,specificity_precision,4.4333
google/gemini-3.1-flash-lite-preview,structure_flow,5.0
google/gemini-3.1-pro-preview,brevity_economy,4.2667
google/gemini-3.1-pro-preview,clarity,5.0
google/gemini-3.1-pro-preview,humanity_voice,4.7
google/gemini-3.1-pro-preview,overall,4.9333
google/gemini-3.1-pro-preview,simplicity,4.4
google/gemini-3.1-pro-preview,specificity_precision,4.7
google/gemini-3.1-pro-preview,structure_flow,5.0
minimax/minimax-m2.5,brevity_economy,4.2
minimax/minimax-m2.5,clarity,4.9875
minimax/minimax-m2.5,humanity_voice,4.55
minimax/minimax-m2.5,overall,4.7125
minimax/minimax-m2.5,simplicity,4.6
minimax/minimax-m2.5,specificity_precision,4.4
minimax/minimax-m2.5,structure_flow,4.9875
moonshotai/kimi-k2.5,brevity_economy,4.4625
moonshotai/kimi-k2.5,clarity,4.9875
moonshotai/kimi-k2.5,humanity_voice,4.7875
moonshotai/kimi-k2.5,overall,4.975
moonshotai/kimi-k2.5,simplicity,4.475
moonshotai/kimi-k2.5,specificity_precision,4.9375
moonshotai/kimi-k2.5,structure_flow,4.9875
openai/gpt-5.3-chat,brevity_economy,4.75
openai/gpt-5.3-chat,clarity,5.0
openai/gpt-5.3-chat,humanity_voice,4.5
openai/gpt-5.3-chat,overall,4.8333
openai/gpt-5.3-chat,simplicity,4.9833
openai/gpt-5.3-chat,specificity_precision,4.5
openai/gpt-5.3-chat,structure_flow,4.9833
openai/gpt-5.4,brevity_economy,4.0
openai/gpt-5.4,clarity,5.0
openai/gpt-5.4,humanity_voice,4.6667
openai/gpt-5.4,overall,4.85
openai/gpt-5.4,simplicity,4.8167
openai/gpt-5.4,specificity_precision,4.6833
openai/gpt-5.4,structure_flow,5.0
qwen/qwen3.5-35b-a3b,brevity_economy,3.5
qwen/qwen3.5-35b-a3b,clarity,4.7625
qwen/qwen3.5-35b-a3b,humanity_voice,4.2375
qwen/qwen3.5-35b-a3b,overall,4.2375
qwen/qwen3.5-35b-a3b,simplicity,4.2
qwen/qwen3.5-35b-a3b,specificity_precision,4.3375
qwen/qwen3.5-35b-a3b,structure_flow,4.45
x-ai/grok-4.1-fast,brevity_economy,4.125
x-ai/grok-4.1-fast,clarity,4.9625
x-ai/grok-4.1-fast,humanity_voice,4.55
x-ai/grok-4.1-fast,overall,4.65
x-ai/grok-4.1-fast,simplicity,4.175
x-ai/grok-4.1-fast,specificity_precision,4.7875
x-ai/grok-4.1-fast,structure_flow,4.9875
z-ai/glm-5,brevity_economy,4.3333
z-ai/glm-5,clarity,5.0
z-ai/glm-5,humanity_voice,4.5
z-ai/glm-5,overall,4.85
z-ai/glm-5,simplicity,4.3667
z-ai/glm-5,specificity_precision,4.7333
z-ai/glm-5,structure_flow,5.0
