candidate_model_id,prompt_category,score
anthropic/claude-opus-4.6,explain,2.9167
anthropic/claude-opus-4.6,memo,3.003
anthropic/claude-opus-4.6,personal_nonfiction,2.9841
anthropic/claude-opus-4.6,persuasion_oped,3.0198
anthropic/claude-opus-4.6,profile,2.9762
anthropic/claude-opus-4.6,service_howto,2.9563
anthropic/claude-sonnet-4.6,explain,2.9554
anthropic/claude-sonnet-4.6,memo,2.9524
anthropic/claude-sonnet-4.6,personal_nonfiction,3.0437
anthropic/claude-sonnet-4.6,persuasion_oped,3.0238
anthropic/claude-sonnet-4.6,profile,3.0516
anthropic/claude-sonnet-4.6,service_howto,2.9881
deepseek/deepseek-v3.2,explain,3.0119
deepseek/deepseek-v3.2,memo,2.9732
deepseek/deepseek-v3.2,personal_nonfiction,3.004
deepseek/deepseek-v3.2,persuasion_oped,3.004
deepseek/deepseek-v3.2,profile,3.1111
deepseek/deepseek-v3.2,service_howto,2.9881
google/gemini-3.1-flash-lite-preview,explain,3.0
google/gemini-3.1-flash-lite-preview,memo,2.9851
google/gemini-3.1-flash-lite-preview,personal_nonfiction,2.9087
google/gemini-3.1-flash-lite-preview,persuasion_oped,3.004
google/gemini-3.1-flash-lite-preview,profile,3.0198
google/gemini-3.1-flash-lite-preview,service_howto,2.8889
google/gemini-3.1-pro-preview,explain,3.0595
google/gemini-3.1-pro-preview,memo,2.9792
google/gemini-3.1-pro-preview,personal_nonfiction,3.0119
google/gemini-3.1-pro-preview,persuasion_oped,3.0317
google/gemini-3.1-pro-preview,profile,2.9643
google/gemini-3.1-pro-preview,service_howto,2.9802
minimax/minimax-m2.5,explain,2.9345
minimax/minimax-m2.5,memo,3.0327
minimax/minimax-m2.5,personal_nonfiction,3.0595
minimax/minimax-m2.5,persuasion_oped,2.9722
minimax/minimax-m2.5,profile,3.004
minimax/minimax-m2.5,service_howto,3.0119
moonshotai/kimi-k2.5,explain,3.0387
moonshotai/kimi-k2.5,memo,3.0238
moonshotai/kimi-k2.5,personal_nonfiction,3.0952
moonshotai/kimi-k2.5,persuasion_oped,2.9444
moonshotai/kimi-k2.5,profile,3.004
moonshotai/kimi-k2.5,service_howto,2.9087
openai/gpt-5.3-chat,explain,2.9762
openai/gpt-5.3-chat,memo,2.8958
openai/gpt-5.3-chat,personal_nonfiction,2.9722
openai/gpt-5.3-chat,persuasion_oped,2.9921
openai/gpt-5.3-chat,profile,2.9881
openai/gpt-5.3-chat,service_howto,2.9683
openai/gpt-5.4,explain,3.0446
openai/gpt-5.4,memo,3.0417
openai/gpt-5.4,personal_nonfiction,2.9127
openai/gpt-5.4,persuasion_oped,3.0
openai/gpt-5.4,profile,2.9921
openai/gpt-5.4,service_howto,2.9881
qwen/qwen3.5-35b-a3b,explain,3.0
qwen/qwen3.5-35b-a3b,memo,2.994
qwen/qwen3.5-35b-a3b,personal_nonfiction,3.004
qwen/qwen3.5-35b-a3b,persuasion_oped,2.9325
qwen/qwen3.5-35b-a3b,profile,2.9841
qwen/qwen3.5-35b-a3b,service_howto,2.996
x-ai/grok-4.1-fast,explain,3.0863
x-ai/grok-4.1-fast,memo,2.9732
x-ai/grok-4.1-fast,personal_nonfiction,2.9563
x-ai/grok-4.1-fast,persuasion_oped,2.9841
x-ai/grok-4.1-fast,profile,2.9921
x-ai/grok-4.1-fast,service_howto,3.0278
z-ai/glm-5,explain,2.9762
z-ai/glm-5,memo,3.0357
z-ai/glm-5,personal_nonfiction,2.996
z-ai/glm-5,persuasion_oped,3.0
z-ai/glm-5,profile,2.9286
z-ai/glm-5,service_howto,2.9841
