candidate_model_id,prompt_category,score
anthropic/claude-opus-4.6,explain,4.1071
anthropic/claude-opus-4.6,memo,4.2857
anthropic/claude-opus-4.6,personal_nonfiction,4.5714
anthropic/claude-opus-4.6,persuasion_oped,4.4127
anthropic/claude-opus-4.6,profile,4.625
anthropic/claude-opus-4.6,service_howto,4.5397
anthropic/claude-sonnet-4.6,explain,4.3571
anthropic/claude-sonnet-4.6,memo,3.9405
anthropic/claude-sonnet-4.6,personal_nonfiction,4.4762
anthropic/claude-sonnet-4.6,persuasion_oped,4.4603
anthropic/claude-sonnet-4.6,profile,4.4603
anthropic/claude-sonnet-4.6,service_howto,4.3492
deepseek/deepseek-v3.2,explain,4.0476
deepseek/deepseek-v3.2,memo,3.9762
deepseek/deepseek-v3.2,personal_nonfiction,4.254
deepseek/deepseek-v3.2,persuasion_oped,3.9206
deepseek/deepseek-v3.2,profile,4.254
deepseek/deepseek-v3.2,service_howto,4.2698
google/gemini-3.1-flash-lite-preview,explain,1.7857
google/gemini-3.1-flash-lite-preview,memo,1.6071
google/gemini-3.1-flash-lite-preview,personal_nonfiction,1.4444
google/gemini-3.1-flash-lite-preview,persuasion_oped,1.7619
google/gemini-3.1-flash-lite-preview,profile,2.0635
google/gemini-3.1-flash-lite-preview,service_howto,1.5397
google/gemini-3.1-pro-preview,explain,1.3214
google/gemini-3.1-pro-preview,memo,1.0238
google/gemini-3.1-pro-preview,personal_nonfiction,2.3492
google/gemini-3.1-pro-preview,persuasion_oped,1.2222
google/gemini-3.1-pro-preview,profile,1.6349
google/gemini-3.1-pro-preview,service_howto,1.0159
minimax/minimax-m2.5,explain,3.9524
minimax/minimax-m2.5,memo,3.6905
minimax/minimax-m2.5,personal_nonfiction,4.3333
minimax/minimax-m2.5,persuasion_oped,3.8254
minimax/minimax-m2.5,profile,4.6032
minimax/minimax-m2.5,service_howto,4.1905
moonshotai/kimi-k2.5,explain,4.2738
moonshotai/kimi-k2.5,memo,3.0952
moonshotai/kimi-k2.5,personal_nonfiction,4.3016
moonshotai/kimi-k2.5,persuasion_oped,3.4127
moonshotai/kimi-k2.5,profile,3.5397
moonshotai/kimi-k2.5,service_howto,4.0159
openai/gpt-5.3-chat,explain,4.4167
openai/gpt-5.3-chat,memo,4.5833
openai/gpt-5.3-chat,personal_nonfiction,4.6032
openai/gpt-5.3-chat,persuasion_oped,4.3016
openai/gpt-5.3-chat,profile,4.5238
openai/gpt-5.3-chat,service_howto,4.1746
openai/gpt-5.4,explain,4.0357
openai/gpt-5.4,memo,3.7381
openai/gpt-5.4,personal_nonfiction,4.1786
openai/gpt-5.4,persuasion_oped,4.3175
openai/gpt-5.4,profile,4.0952
openai/gpt-5.4,service_howto,4.3492
qwen/qwen3.5-35b-a3b,explain,2.631
qwen/qwen3.5-35b-a3b,memo,4.0357
qwen/qwen3.5-35b-a3b,personal_nonfiction,3.0476
qwen/qwen3.5-35b-a3b,persuasion_oped,2.1429
qwen/qwen3.5-35b-a3b,profile,2.1746
qwen/qwen3.5-35b-a3b,service_howto,3.0952
x-ai/grok-4.1-fast,explain,4.1905
x-ai/grok-4.1-fast,memo,4.5952
x-ai/grok-4.1-fast,personal_nonfiction,3.8036
x-ai/grok-4.1-fast,persuasion_oped,3.9048
x-ai/grok-4.1-fast,profile,4.0794
x-ai/grok-4.1-fast,service_howto,4.0476
z-ai/glm-5,explain,4.3214
z-ai/glm-5,memo,4.4048
z-ai/glm-5,personal_nonfiction,4.5397
z-ai/glm-5,persuasion_oped,4.1429
z-ai/glm-5,profile,4.381
z-ai/glm-5,service_howto,4.4127
