candidate_model_id,prompt_id,score
anthropic/claude-opus-4.6,explain_food_recall,4.8571
anthropic/claude-opus-4.6,explain_heat_pumps,4.8095
anthropic/claude-opus-4.6,explain_municipal_bonds,4.9048
anthropic/claude-opus-4.6,explain_property_tax,4.7619
anthropic/claude-opus-4.6,howto_neighborhood_meeting,4.7619
anthropic/claude-opus-4.6,howto_report_water_leak,4.619
anthropic/claude-opus-4.6,howto_school_board_comment,4.6667
anthropic/claude-opus-4.6,memo_budget_freeze,4.8095
anthropic/claude-opus-4.6,memo_incident_response,4.8571
anthropic/claude-opus-4.6,memo_remote_work_policy,4.8095
anthropic/claude-opus-4.6,memo_schedule_change,4.8571
anthropic/claude-opus-4.6,oped_bus_lanes,4.9048
anthropic/claude-opus-4.6,oped_corner_store,4.8571
anthropic/claude-opus-4.6,oped_library_hours,4.8571
anthropic/claude-opus-4.6,personal_first_day_union_job,4.8571
anthropic/claude-opus-4.6,personal_night_shift_bus,4.9048
anthropic/claude-opus-4.6,personal_public_pool,4.8095
anthropic/claude-opus-4.6,profile_ferry_captain,4.9048
anthropic/claude-opus-4.6,profile_public_defender,4.7143
anthropic/claude-opus-4.6,profile_school_custodian,4.7143
anthropic/claude-sonnet-4.6,explain_food_recall,4.9524
anthropic/claude-sonnet-4.6,explain_heat_pumps,4.8095
anthropic/claude-sonnet-4.6,explain_municipal_bonds,4.9048
anthropic/claude-sonnet-4.6,explain_property_tax,4.8095
anthropic/claude-sonnet-4.6,howto_neighborhood_meeting,4.8571
anthropic/claude-sonnet-4.6,howto_report_water_leak,4.7619
anthropic/claude-sonnet-4.6,howto_school_board_comment,4.8571
anthropic/claude-sonnet-4.6,memo_budget_freeze,4.7619
anthropic/claude-sonnet-4.6,memo_incident_response,4.8571
anthropic/claude-sonnet-4.6,memo_remote_work_policy,4.8571
anthropic/claude-sonnet-4.6,memo_schedule_change,4.8571
anthropic/claude-sonnet-4.6,oped_bus_lanes,4.9048
anthropic/claude-sonnet-4.6,oped_corner_store,4.8095
