prompt_id,axis,score
explain_food_recall,brevity_economy,3.0694
explain_food_recall,clarity,2.875
explain_food_recall,humanity_voice,2.875
explain_food_recall,overall,2.8681
explain_food_recall,simplicity,2.8681
explain_food_recall,specificity_precision,3.0208
explain_food_recall,structure_flow,3.1667
explain_heat_pumps,brevity_economy,3.0139
explain_heat_pumps,clarity,2.9931
explain_heat_pumps,humanity_voice,2.9931
explain_heat_pumps,overall,3.0903
explain_heat_pumps,simplicity,3.0903
explain_heat_pumps,specificity_precision,3.1042
explain_heat_pumps,structure_flow,2.7986
explain_municipal_bonds,brevity_economy,2.9792
explain_municipal_bonds,clarity,3.0625
explain_municipal_bonds,humanity_voice,3.0625
explain_municipal_bonds,overall,2.9167
explain_municipal_bonds,simplicity,2.9167
explain_municipal_bonds,specificity_precision,3.1389
explain_municipal_bonds,structure_flow,2.9028
explain_property_tax,brevity_economy,2.7569
explain_property_tax,clarity,3.0833
explain_property_tax,humanity_voice,3.0833
explain_property_tax,overall,3.1111
explain_property_tax,simplicity,3.1111
explain_property_tax,specificity_precision,3.125
explain_property_tax,structure_flow,2.9236
howto_neighborhood_meeting,brevity_economy,2.9931
howto_neighborhood_meeting,clarity,2.9375
howto_neighborhood_meeting,humanity_voice,2.9375
howto_neighborhood_meeting,overall,2.7917
howto_neighborhood_meeting,simplicity,2.7917
howto_neighborhood_meeting,specificity_precision,3.0833
howto_neighborhood_meeting,structure_flow,3.1944
howto_report_water_leak,brevity_economy,3.0278
howto_report_water_leak,clarity,2.9722
howto_report_water_leak,humanity_voice,2.9722
howto_report_water_leak,overall,2.9653
howto_report_water_leak,simplicity,2.9653
howto_report_water_leak,specificity_precision,2.9097
howto_report_water_leak,structure_flow,3.125
howto_school_board_comment,brevity_economy,3.125
howto_school_board_comment,clarity,2.8958
howto_school_board_comment,humanity_voice,2.8958
howto_school_board_comment,overall,2.8889
howto_school_board_comment,simplicity,2.8889
howto_school_board_comment,specificity_precision,2.8333
howto_school_board_comment,structure_flow,3.2569
memo_budget_freeze,brevity_economy,3.0278
memo_budget_freeze,clarity,3.1111
memo_budget_freeze,humanity_voice,3.1111
memo_budget_freeze,overall,2.9653
memo_budget_freeze,simplicity,2.9653
memo_budget_freeze,specificity_precision,2.9792
memo_budget_freeze,structure_flow,2.9167
memo_incident_response,brevity_economy,3.2917
memo_incident_response,clarity,2.9583
memo_incident_response,humanity_voice,2.9583
memo_incident_response,overall,3.0208
memo_incident_response,simplicity,3.0208
memo_incident_response,specificity_precision,2.7917
memo_incident_response,structure_flow,2.9375
memo_remote_work_policy,brevity_economy,3.0486
memo_remote_work_policy,clarity,2.9583
memo_remote_work_policy,humanity_voice,2.9583
memo_remote_work_policy,overall,2.9167
memo_remote_work_policy,simplicity,2.9167
memo_remote_work_policy,specificity_precision,3.0347
memo_remote_work_policy,structure_flow,3.0417
memo_schedule_change,brevity_economy,3.1736
memo_schedule_change,clarity,2.875
memo_schedule_change,humanity_voice,2.875
memo_schedule_change,overall,2.9375
memo_schedule_change,simplicity,2.9375
memo_schedule_change,specificity_precision,2.8819
memo_schedule_change,structure_flow,3.1319
oped_bus_lanes,brevity_economy,2.9028
oped_bus_lanes,clarity,2.9514
oped_bus_lanes,humanity_voice,2.9514
oped_bus_lanes,overall,2.8056
oped_bus_lanes,simplicity,2.8056
oped_bus_lanes,specificity_precision,3.2014
oped_bus_lanes,structure_flow,3.1389
oped_corner_store,brevity_economy,2.9861
oped_corner_store,clarity,3.1736
oped_corner_store,humanity_voice,3.1736
oped_corner_store,overall,2.9236
oped_corner_store,simplicity,2.9236
oped_corner_store,specificity_precision,3.0069
oped_corner_store,structure_flow,2.9097
oped_library_hours,brevity_economy,3.2083
oped_library_hours,clarity,2.8403
oped_library_hours,humanity_voice,2.8403
oped_library_hours,overall,3.1458
oped_library_hours,simplicity,3.1458
oped_library_hours,specificity_precision,2.8125
oped_library_hours,structure_flow,2.9931
personal_first_day_union_job,brevity_economy,3.0556
personal_first_day_union_job,clarity,3.0347
personal_first_day_union_job,humanity_voice,3.0347
personal_first_day_union_job,overall,2.9236
personal_first_day_union_job,simplicity,2.9236
personal_first_day_union_job,specificity_precision,3.0069
personal_first_day_union_job,structure_flow,2.9792
personal_night_shift_bus,brevity_economy,2.9583
personal_night_shift_bus,clarity,2.9375
personal_night_shift_bus,humanity_voice,2.9375
personal_night_shift_bus,overall,2.9306
personal_night_shift_bus,simplicity,2.9306
personal_night_shift_bus,specificity_precision,3.1875
personal_night_shift_bus,structure_flow,2.9861
personal_public_pool,brevity_economy,2.9444
personal_public_pool,clarity,2.9583
personal_public_pool,humanity_voice,2.9583
personal_public_pool,overall,3.125
personal_public_pool,simplicity,3.125
personal_public_pool,specificity_precision,3.0347
personal_public_pool,structure_flow,2.9375
profile_ferry_captain,brevity_economy,3.1806
profile_ferry_captain,clarity,2.9514
profile_ferry_captain,humanity_voice,2.9514
profile_ferry_captain,overall,3.0833
profile_ferry_captain,simplicity,3.0833
profile_ferry_captain,specificity_precision,2.8889
profile_ferry_captain,structure_flow,2.8958
profile_public_defender,brevity_economy,2.7986
profile_public_defender,clarity,3.1597
profile_public_defender,humanity_voice,3.1597
profile_public_defender,overall,2.8056
profile_public_defender,simplicity,2.8056
profile_public_defender,specificity_precision,3.2014
profile_public_defender,structure_flow,3.0347
profile_school_custodian,brevity_economy,2.9861
profile_school_custodian,clarity,2.9653
profile_school_custodian,humanity_voice,2.9653
profile_school_custodian,overall,3.0625
profile_school_custodian,simplicity,3.0625
profile_school_custodian,specificity_precision,3.0764
profile_school_custodian,structure_flow,2.9097
