candidate_model_id,prompt_category,score
anthropic/claude-opus-4.6,explain,4.0952
anthropic/claude-opus-4.6,memo,4.1548
anthropic/claude-opus-4.6,personal_nonfiction,4.5397
anthropic/claude-opus-4.6,persuasion_oped,4.3492
anthropic/claude-opus-4.6,profile,4.5397
anthropic/claude-opus-4.6,service_howto,4.4444
anthropic/claude-sonnet-4.6,explain,4.1548
anthropic/claude-sonnet-4.6,memo,4.119
anthropic/claude-sonnet-4.6,personal_nonfiction,4.5556
anthropic/claude-sonnet-4.6,persuasion_oped,4.5397
anthropic/claude-sonnet-4.6,profile,4.5873
anthropic/claude-sonnet-4.6,service_howto,4.3333
deepseek/deepseek-v3.2,explain,4.119
deepseek/deepseek-v3.2,memo,3.9643
deepseek/deepseek-v3.2,personal_nonfiction,4.3492
deepseek/deepseek-v3.2,persuasion_oped,4.0635
deepseek/deepseek-v3.2,profile,4.3968
deepseek/deepseek-v3.2,service_howto,4.3651
google/gemini-3.1-flash-lite-preview,explain,4.6548
google/gemini-3.1-flash-lite-preview,memo,4.369
google/gemini-3.1-flash-lite-preview,personal_nonfiction,4.4762
google/gemini-3.1-flash-lite-preview,persuasion_oped,4.4444
google/gemini-3.1-flash-lite-preview,profile,4.6508
google/gemini-3.1-flash-lite-preview,service_howto,4.6984
google/gemini-3.1-pro-preview,explain,4.7381
google/gemini-3.1-pro-preview,memo,4.7024
google/gemini-3.1-pro-preview,personal_nonfiction,4.7778
google/gemini-3.1-pro-preview,persuasion_oped,4.5556
google/gemini-3.1-pro-preview,profile,4.746
google/gemini-3.1-pro-preview,service_howto,4.7619
minimax/minimax-m2.5,explain,4.1071
minimax/minimax-m2.5,memo,3.6786
minimax/minimax-m2.5,personal_nonfiction,4.4762
minimax/minimax-m2.5,persuasion_oped,4.0952
minimax/minimax-m2.5,profile,4.6825
minimax/minimax-m2.5,service_howto,4.2063
moonshotai/kimi-k2.5,explain,4.4524
moonshotai/kimi-k2.5,memo,4.4048
moonshotai/kimi-k2.5,personal_nonfiction,4.7937
moonshotai/kimi-k2.5,persuasion_oped,4.4048
moonshotai/kimi-k2.5,profile,4.8095
moonshotai/kimi-k2.5,service_howto,4.0476
openai/gpt-5.3-chat,explain,4.4286
openai/gpt-5.3-chat,memo,4.6667
openai/gpt-5.3-chat,personal_nonfiction,4.5873
openai/gpt-5.3-chat,persuasion_oped,4.4444
openai/gpt-5.3-chat,profile,4.5556
openai/gpt-5.3-chat,service_howto,4.2063
openai/gpt-5.4,explain,4.1071
openai/gpt-5.4,memo,3.7976
openai/gpt-5.4,personal_nonfiction,4.5556
openai/gpt-5.4,persuasion_oped,4.127
openai/gpt-5.4,profile,4.5873
openai/gpt-5.4,service_howto,4.5079
qwen/qwen3.5-35b-a3b,explain,2.631
qwen/qwen3.5-35b-a3b,memo,3.8452
qwen/qwen3.5-35b-a3b,personal_nonfiction,3.1905
qwen/qwen3.5-35b-a3b,persuasion_oped,2.2222
qwen/qwen3.5-35b-a3b,profile,2.1587
qwen/qwen3.5-35b-a3b,service_howto,3.2381
x-ai/grok-4.1-fast,explain,4.2976
x-ai/grok-4.1-fast,memo,4.6071
x-ai/grok-4.1-fast,personal_nonfiction,3.9841
x-ai/grok-4.1-fast,persuasion_oped,3.9841
x-ai/grok-4.1-fast,profile,4.2222
x-ai/grok-4.1-fast,service_howto,4.1587
z-ai/glm-5,explain,4.3571
z-ai/glm-5,memo,4.4524
z-ai/glm-5,personal_nonfiction,4.6032
z-ai/glm-5,persuasion_oped,4.381
z-ai/glm-5,profile,4.4444
z-ai/glm-5,service_howto,4.4762
