candidate_model_id,axis,score
anthropic/claude-opus-4.6,brevity_economy,4.1864
anthropic/claude-opus-4.6,clarity,4.7458
anthropic/claude-opus-4.6,humanity_voice,4.6102
anthropic/claude-opus-4.6,overall,4.0169
anthropic/claude-opus-4.6,simplicity,4.5763
anthropic/claude-opus-4.6,specificity_precision,4.661
anthropic/claude-opus-4.6,structure_flow,3.9831
anthropic/claude-sonnet-4.6,brevity_economy,4.2167
anthropic/claude-sonnet-4.6,clarity,4.6667
anthropic/claude-sonnet-4.6,humanity_voice,4.5
anthropic/claude-sonnet-4.6,overall,3.8333
anthropic/claude-sonnet-4.6,simplicity,4.5667
anthropic/claude-sonnet-4.6,specificity_precision,4.6167
anthropic/claude-sonnet-4.6,structure_flow,3.85
deepseek/deepseek-v3.2,brevity_economy,3.9833
deepseek/deepseek-v3.2,clarity,4.6167
deepseek/deepseek-v3.2,humanity_voice,4.1833
deepseek/deepseek-v3.2,overall,3.7
deepseek/deepseek-v3.2,simplicity,4.25
deepseek/deepseek-v3.2,specificity_precision,4.2667
deepseek/deepseek-v3.2,structure_flow,3.7667
google/gemini-3.1-flash-lite-preview,brevity_economy,1.45
google/gemini-3.1-flash-lite-preview,clarity,1.8833
google/gemini-3.1-flash-lite-preview,humanity_voice,2.2167
google/gemini-3.1-flash-lite-preview,overall,1.0667
google/gemini-3.1-flash-lite-preview,simplicity,2.6333
google/gemini-3.1-flash-lite-preview,specificity_precision,1.5167
google/gemini-3.1-flash-lite-preview,structure_flow,1.1333
google/gemini-3.1-pro-preview,brevity_economy,1.2167
google/gemini-3.1-pro-preview,clarity,1.3
google/gemini-3.1-pro-preview,humanity_voice,1.65
google/gemini-3.1-pro-preview,overall,1.05
google/gemini-3.1-pro-preview,simplicity,1.9833
google/gemini-3.1-pro-preview,specificity_precision,1.6
google/gemini-3.1-pro-preview,structure_flow,1.0167
minimax/minimax-m2.5,brevity_economy,3.9667
minimax/minimax-m2.5,clarity,4.55
minimax/minimax-m2.5,humanity_voice,4.2333
minimax/minimax-m2.5,overall,3.5167
minimax/minimax-m2.5,simplicity,4.5167
minimax/minimax-m2.5,specificity_precision,4.0167
minimax/minimax-m2.5,structure_flow,3.7
moonshotai/kimi-k2.5,brevity_economy,3.6333
moonshotai/kimi-k2.5,clarity,4.1833
moonshotai/kimi-k2.5,humanity_voice,4.1
moonshotai/kimi-k2.5,overall,3.1
moonshotai/kimi-k2.5,simplicity,4.1167
moonshotai/kimi-k2.5,specificity_precision,4.0833
moonshotai/kimi-k2.5,structure_flow,3.1333
openai/gpt-5.3-chat,brevity_economy,4.4
openai/gpt-5.3-chat,clarity,4.8333
openai/gpt-5.3-chat,humanity_voice,4.25
openai/gpt-5.3-chat,overall,4.1833
openai/gpt-5.3-chat,simplicity,4.7667
openai/gpt-5.3-chat,specificity_precision,4.35
openai/gpt-5.3-chat,structure_flow,4.3
openai/gpt-5.4,brevity_economy,4.1017
openai/gpt-5.4,clarity,4.5763
openai/gpt-5.4,humanity_voice,4.1695
openai/gpt-5.4,overall,3.5085
openai/gpt-5.4,simplicity,4.6441
openai/gpt-5.4,specificity_precision,4.1186
openai/gpt-5.4,structure_flow,3.5424
qwen/qwen3.5-35b-a3b,brevity_economy,2.8
qwen/qwen3.5-35b-a3b,clarity,3.2667
qwen/qwen3.5-35b-a3b,humanity_voice,2.85
qwen/qwen3.5-35b-a3b,overall,2.5333
qwen/qwen3.5-35b-a3b,simplicity,3.1
qwen/qwen3.5-35b-a3b,specificity_precision,3.1333
qwen/qwen3.5-35b-a3b,structure_flow,2.6333
x-ai/grok-4.1-fast,brevity_economy,3.9153
x-ai/grok-4.1-fast,clarity,4.6271
x-ai/grok-4.1-fast,humanity_voice,4.2542
x-ai/grok-4.1-fast,overall,3.7966
x-ai/grok-4.1-fast,simplicity,4.0508
x-ai/grok-4.1-fast,specificity_precision,4.5932
x-ai/grok-4.1-fast,structure_flow,3.7288
z-ai/glm-5,brevity_economy,4.2167
z-ai/glm-5,clarity,4.7333
z-ai/glm-5,humanity_voice,4.4833
z-ai/glm-5,overall,4.05
z-ai/glm-5,simplicity,4.3833
z-ai/glm-5,specificity_precision,4.5167
z-ai/glm-5,structure_flow,4.1833
