model_id,explain_food_recall,explain_heat_pumps,explain_municipal_bonds,explain_property_tax,howto_neighborhood_meeting,howto_report_water_leak,howto_school_board_comment,memo_budget_freeze,memo_incident_response,memo_remote_work_policy,memo_schedule_change,oped_bus_lanes,oped_corner_store,oped_library_hours,personal_first_day_union_job,personal_night_shift_bus,personal_public_pool,profile_ferry_captain,profile_public_defender,profile_school_custodian,average_response_length
anthropic/claude-opus-4.6,2136,2044,2220,1882,1966,1936,2197,2109,2062,2059,1743,1892,2010,1951,1814,1745,1776,1788,1667,1852,1942.5
anthropic/claude-sonnet-4.6,1953,1981,1939,1993,2162,1909,2113,2211,2048,1904,1761,2061,2267,2115,1872,1905,1735,1860,1668,1679,1956.8
deepseek/deepseek-v3.2,1496,2396,2161,1256,5314,2190,1482,1866,2386,1472,1275,2397,2587,2537,1438,1179,3946,2243,1471,3063,2207.8
google/gemini-3.1-flash-lite-preview,90,440,69,97,113,331,89,68,475,323,75,86,328,64,77,41,81,99,70,78,154.7
google/gemini-3.1-pro-preview,69,64,98,89,97,92,90,76,63,49,69,69,91,95,105,84,86,70,113,94,83.2
minimax/minimax-m2.5,1602,2314,2137,1637,2101,1810,1877,2374,1998,1641,1705,939,1516,3800,1484,1177,1523,1565,1672,5736,2030.4
moonshotai/kimi-k2.5,839,1894,2799,717,1300,1087,1024,3777,1061,50,469,732,116,1336,5877,5913,153,187,148,3680,1658.0
openai/gpt-5.3-chat,2554,1406,2218,2480,2477,2206,2496,2432,2308,2471,1205,2681,2690,2301,1865,2097,2093,2102,2479,2166,2236.3
openai/gpt-5.4,1729,1675,2013,1598,1942,1907,1825,2287,1683,2041,1921,2328,2175,2305,384,1529,1745,1711,454,1379,1731.5
qwen/qwen3.5-35b-a3b,1923,2265,2081,2012,1944,2336,2323,2054,2511,2263,2032,1928,2578,2014,2098,2236,2232,2141,1949,1939,2142.9
x-ai/grok-4.1-fast,2252,2241,2351,2155,2232,2298,2214,2565,2589,2436,1648,2411,2643,2567,2256,2242,2360,2113,2344,2236,2307.7
z-ai/glm-5,4823,3140,2452,1787,3028,5278,3478,2901,1963,2722,2459,2403,3338,489,1350,6937,1343,1465,1633,2167,2757.8
