candidate_model_id,prompt_id,score
anthropic/claude-opus-4.6,explain_food_recall,2.8929
anthropic/claude-opus-4.6,explain_heat_pumps,3.0119
anthropic/claude-opus-4.6,explain_municipal_bonds,2.9524
anthropic/claude-opus-4.6,explain_property_tax,2.8095
anthropic/claude-opus-4.6,howto_neighborhood_meeting,2.8452
anthropic/claude-opus-4.6,howto_report_water_leak,3.0
anthropic/claude-opus-4.6,howto_school_board_comment,3.0238
anthropic/claude-opus-4.6,memo_budget_freeze,3.0595
anthropic/claude-opus-4.6,memo_incident_response,3.0952
anthropic/claude-opus-4.6,memo_remote_work_policy,2.9524
anthropic/claude-opus-4.6,memo_schedule_change,2.9048
anthropic/claude-opus-4.6,oped_bus_lanes,2.9762
anthropic/claude-opus-4.6,oped_corner_store,3.119
anthropic/claude-opus-4.6,oped_library_hours,2.9643
anthropic/claude-opus-4.6,personal_first_day_union_job,3.0833
anthropic/claude-opus-4.6,personal_night_shift_bus,2.9762
anthropic/claude-opus-4.6,personal_public_pool,2.8929
anthropic/claude-opus-4.6,profile_ferry_captain,3.0119
anthropic/claude-opus-4.6,profile_public_defender,2.9405
anthropic/claude-opus-4.6,profile_school_custodian,2.9762
anthropic/claude-sonnet-4.6,explain_food_recall,2.8929
anthropic/claude-sonnet-4.6,explain_heat_pumps,2.8333
anthropic/claude-sonnet-4.6,explain_municipal_bonds,3.0119
anthropic/claude-sonnet-4.6,explain_property_tax,3.0833
anthropic/claude-sonnet-4.6,howto_neighborhood_meeting,2.869
anthropic/claude-sonnet-4.6,howto_report_water_leak,3.0714
anthropic/claude-sonnet-4.6,howto_school_board_comment,3.0238
anthropic/claude-sonnet-4.6,memo_budget_freeze,3.0119
anthropic/claude-sonnet-4.6,memo_incident_response,2.869
anthropic/claude-sonnet-4.6,memo_remote_work_policy,3.0238
anthropic/claude-sonnet-4.6,memo_schedule_change,2.9048
anthropic/claude-sonnet-4.6,oped_bus_lanes,3.0714
anthropic/claude-sonnet-4.6,oped_corner_store,3.0476
anthropic/claude-sonnet-4.6,oped_library_hours,2.9524
