prompt_id,axis,score
explain_food_recall,brevity_economy,4.2927
explain_food_recall,clarity,5.0
explain_food_recall,humanity_voice,4.4634
explain_food_recall,overall,4.8537
explain_food_recall,simplicity,4.7561
explain_food_recall,specificity_precision,4.8293
explain_food_recall,structure_flow,5.0
explain_heat_pumps,brevity_economy,4.1951
explain_heat_pumps,clarity,4.9268
explain_heat_pumps,humanity_voice,4.2439
explain_heat_pumps,overall,4.6341
explain_heat_pumps,simplicity,4.6098
explain_heat_pumps,specificity_precision,4.4146
explain_heat_pumps,structure_flow,4.8293
explain_municipal_bonds,brevity_economy,4.4634
explain_municipal_bonds,clarity,5.0
explain_municipal_bonds,humanity_voice,4.7805
explain_municipal_bonds,overall,4.9756
explain_municipal_bonds,simplicity,4.9268
explain_municipal_bonds,specificity_precision,4.6098
explain_municipal_bonds,structure_flow,5.0
explain_property_tax,brevity_economy,4.2683
explain_property_tax,clarity,5.0
explain_property_tax,humanity_voice,4.5366
explain_property_tax,overall,4.9024
explain_property_tax,simplicity,4.7805
explain_property_tax,specificity_precision,4.6829
explain_property_tax,structure_flow,5.0
howto_neighborhood_meeting,brevity_economy,4.3415
howto_neighborhood_meeting,clarity,5.0
howto_neighborhood_meeting,humanity_voice,4.439
howto_neighborhood_meeting,overall,4.9512
howto_neighborhood_meeting,simplicity,4.7561
howto_neighborhood_meeting,specificity_precision,4.9512
howto_neighborhood_meeting,structure_flow,5.0
howto_report_water_leak,brevity_economy,4.1951
howto_report_water_leak,clarity,4.9756
howto_report_water_leak,humanity_voice,4.439
howto_report_water_leak,overall,4.9024
howto_report_water_leak,simplicity,4.6829
howto_report_water_leak,specificity_precision,4.9024
howto_report_water_leak,structure_flow,4.9756
howto_school_board_comment,brevity_economy,4.0976
howto_school_board_comment,clarity,4.9268
howto_school_board_comment,humanity_voice,4.3902
howto_school_board_comment,overall,4.7073
howto_school_board_comment,simplicity,4.6585
howto_school_board_comment,specificity_precision,4.8537
howto_school_board_comment,structure_flow,4.878
memo_budget_freeze,brevity_economy,4.3415
memo_budget_freeze,clarity,5.0
memo_budget_freeze,humanity_voice,4.0732
memo_budget_freeze,overall,4.8293
memo_budget_freeze,simplicity,4.4146
memo_budget_freeze,specificity_precision,4.7805
memo_budget_freeze,structure_flow,5.0
memo_incident_response,brevity_economy,4.2927
memo_incident_response,clarity,4.9268
memo_incident_response,humanity_voice,4.1463
memo_incident_response,overall,4.6341
memo_incident_response,simplicity,4.3902
memo_incident_response,specificity_precision,4.7317
memo_incident_response,structure_flow,4.8293
memo_remote_work_policy,brevity_economy,4.0488
memo_remote_work_policy,clarity,4.9024
memo_remote_work_policy,humanity_voice,4.3171
memo_remote_work_policy,overall,4.6829
memo_remote_work_policy,simplicity,4.439
memo_remote_work_policy,specificity_precision,4.7805
memo_remote_work_policy,structure_flow,4.9024
memo_schedule_change,brevity_economy,4.4878
memo_schedule_change,clarity,4.9512
memo_schedule_change,humanity_voice,4.2683
memo_schedule_change,overall,4.7317
memo_schedule_change,simplicity,4.561
memo_schedule_change,specificity_precision,4.5366
memo_schedule_change,structure_flow,4.9756
oped_bus_lanes,brevity_economy,4.4878
oped_bus_lanes,clarity,5.0
oped_bus_lanes,humanity_voice,4.8049
oped_bus_lanes,overall,4.7561
oped_bus_lanes,simplicity,4.439
oped_bus_lanes,specificity_precision,4.2683
oped_bus_lanes,structure_flow,5.0
oped_corner_store,brevity_economy,4.1951
oped_corner_store,clarity,4.9756
oped_corner_store,humanity_voice,4.8049
oped_corner_store,overall,4.6341
oped_corner_store,simplicity,4.2683
oped_corner_store,specificity_precision,4.2439
oped_corner_store,structure_flow,4.9268
oped_library_hours,brevity_economy,4.1463
oped_library_hours,clarity,5.0
oped_library_hours,humanity_voice,4.8049
oped_library_hours,overall,4.7073
oped_library_hours,simplicity,4.1463
oped_library_hours,specificity_precision,4.1463
oped_library_hours,structure_flow,5.0
personal_first_day_union_job,brevity_economy,4.2683
personal_first_day_union_job,clarity,5.0
personal_first_day_union_job,humanity_voice,4.9512
personal_first_day_union_job,overall,4.9024
personal_first_day_union_job,simplicity,4.4878
personal_first_day_union_job,specificity_precision,4.8293
personal_first_day_union_job,structure_flow,4.9512
personal_night_shift_bus,brevity_economy,3.878
personal_night_shift_bus,clarity,4.878
personal_night_shift_bus,humanity_voice,4.7561
personal_night_shift_bus,overall,4.6585
personal_night_shift_bus,simplicity,3.878
personal_night_shift_bus,specificity_precision,4.7317
personal_night_shift_bus,structure_flow,4.8049
personal_public_pool,brevity_economy,4.0488
personal_public_pool,clarity,4.9512
personal_public_pool,humanity_voice,4.7317
personal_public_pool,overall,4.6098
personal_public_pool,simplicity,4.122
personal_public_pool,specificity_precision,4.6341
personal_public_pool,structure_flow,4.8049
profile_ferry_captain,brevity_economy,4.3415
profile_ferry_captain,clarity,5.0
profile_ferry_captain,humanity_voice,4.9756
profile_ferry_captain,overall,4.9268
profile_ferry_captain,simplicity,4.2683
profile_ferry_captain,specificity_precision,4.878
profile_ferry_captain,structure_flow,5.0
profile_public_defender,brevity_economy,4.1463
profile_public_defender,clarity,5.0
profile_public_defender,humanity_voice,4.9512
profile_public_defender,overall,4.7805
profile_public_defender,simplicity,4.2683
profile_public_defender,specificity_precision,4.6585
profile_public_defender,structure_flow,4.9756
profile_school_custodian,brevity_economy,4.1463
profile_school_custodian,clarity,5.0
profile_school_custodian,humanity_voice,4.9756
profile_school_custodian,overall,4.8293
profile_school_custodian,simplicity,4.2195
profile_school_custodian,specificity_precision,4.7561
profile_school_custodian,structure_flow,4.9756
