prompt_id,axis,score
explain_food_recall,brevity_economy,3.8889
explain_food_recall,clarity,4.3056
explain_food_recall,humanity_voice,3.8611
explain_food_recall,overall,3.3056
explain_food_recall,simplicity,4.3889
explain_food_recall,specificity_precision,4.3056
explain_food_recall,structure_flow,3.4167
explain_heat_pumps,brevity_economy,4.2222
explain_heat_pumps,clarity,4.75
explain_heat_pumps,humanity_voice,4.25
explain_heat_pumps,overall,4.1111
explain_heat_pumps,simplicity,4.6389
explain_heat_pumps,specificity_precision,4.3056
explain_heat_pumps,structure_flow,4.2222
explain_municipal_bonds,brevity_economy,4.25
explain_municipal_bonds,clarity,4.8056
explain_municipal_bonds,humanity_voice,4.8889
explain_municipal_bonds,overall,4.3333
explain_municipal_bonds,simplicity,4.9444
explain_municipal_bonds,specificity_precision,4.25
explain_municipal_bonds,structure_flow,4.3333
explain_property_tax,brevity_economy,3.8889
explain_property_tax,clarity,4.2778
explain_property_tax,humanity_voice,4.0556
explain_property_tax,overall,3.3056
explain_property_tax,simplicity,4.4722
explain_property_tax,specificity_precision,3.9167
explain_property_tax,structure_flow,3.3056
howto_neighborhood_meeting,brevity_economy,3.9167
howto_neighborhood_meeting,clarity,4.5
howto_neighborhood_meeting,humanity_voice,4.1667
howto_neighborhood_meeting,overall,3.8056
howto_neighborhood_meeting,simplicity,4.4722
howto_neighborhood_meeting,specificity_precision,4.5
howto_neighborhood_meeting,structure_flow,3.8889
howto_report_water_leak,brevity_economy,4.1667
howto_report_water_leak,clarity,4.75
howto_report_water_leak,humanity_voice,4.1667
howto_report_water_leak,overall,3.9722
howto_report_water_leak,simplicity,4.6389
howto_report_water_leak,specificity_precision,4.6389
howto_report_water_leak,structure_flow,4.1111
howto_school_board_comment,brevity_economy,4.1944
howto_school_board_comment,clarity,4.7222
howto_school_board_comment,humanity_voice,4.2778
howto_school_board_comment,overall,3.8611
howto_school_board_comment,simplicity,4.75
howto_school_board_comment,specificity_precision,4.6111
howto_school_board_comment,structure_flow,3.9167
memo_budget_freeze,brevity_economy,3.9167
memo_budget_freeze,clarity,4.5556
memo_budget_freeze,humanity_voice,3.3611
memo_budget_freeze,overall,3.7778
memo_budget_freeze,simplicity,4.0
memo_budget_freeze,specificity_precision,4.1944
memo_budget_freeze,structure_flow,4.1389
memo_incident_response,brevity_economy,4.1944
memo_incident_response,clarity,4.6389
memo_incident_response,humanity_voice,3.6111
memo_incident_response,overall,3.9722
memo_incident_response,simplicity,4.1389
memo_incident_response,specificity_precision,4.4722
memo_incident_response,structure_flow,4.3889
memo_remote_work_policy,brevity_economy,4.0833
memo_remote_work_policy,clarity,4.6111
memo_remote_work_policy,humanity_voice,3.9722
memo_remote_work_policy,overall,3.8333
memo_remote_work_policy,simplicity,4.3611
memo_remote_work_policy,specificity_precision,4.5
memo_remote_work_policy,structure_flow,4.1111
memo_schedule_change,brevity_economy,4.4167
memo_schedule_change,clarity,4.8889
memo_schedule_change,humanity_voice,4.0833
memo_schedule_change,overall,4.5278
memo_schedule_change,simplicity,4.5833
memo_schedule_change,specificity_precision,4.25
memo_schedule_change,structure_flow,4.8611
oped_bus_lanes,brevity_economy,3.9333
oped_bus_lanes,clarity,4.4333
oped_bus_lanes,humanity_voice,4.3333
oped_bus_lanes,overall,3.8333
oped_bus_lanes,simplicity,4.1
oped_bus_lanes,specificity_precision,3.9667
oped_bus_lanes,structure_flow,3.8667
oped_corner_store,brevity_economy,4.0556
oped_corner_store,clarity,4.8333
oped_corner_store,humanity_voice,4.7778
oped_corner_store,overall,4.0278
oped_corner_store,simplicity,4.0833
oped_corner_store,specificity_precision,4.0
oped_corner_store,structure_flow,4.1667
oped_library_hours,brevity_economy,3.7576
oped_library_hours,clarity,4.5152
oped_library_hours,humanity_voice,4.303
oped_library_hours,overall,3.8182
oped_library_hours,simplicity,3.8485
oped_library_hours,specificity_precision,3.7576
oped_library_hours,structure_flow,3.9697
personal_first_day_union_job,brevity_economy,4.1667
personal_first_day_union_job,clarity,4.5556
personal_first_day_union_job,humanity_voice,4.6389
personal_first_day_union_job,overall,4.0278
personal_first_day_union_job,simplicity,4.3056
personal_first_day_union_job,specificity_precision,4.5556
personal_first_day_union_job,structure_flow,3.9444
personal_night_shift_bus,brevity_economy,4.1389
personal_night_shift_bus,clarity,4.7778
personal_night_shift_bus,humanity_voice,4.9444
personal_night_shift_bus,overall,4.25
personal_night_shift_bus,simplicity,4.0
personal_night_shift_bus,specificity_precision,4.8889
personal_night_shift_bus,structure_flow,3.9167
personal_public_pool,brevity_economy,4.3056
personal_public_pool,clarity,4.8056
personal_public_pool,humanity_voice,4.9444
personal_public_pool,overall,4.25
personal_public_pool,simplicity,4.3056
personal_public_pool,specificity_precision,4.8056
personal_public_pool,structure_flow,4.0278
profile_ferry_captain,brevity_economy,4.2778
profile_ferry_captain,clarity,4.8056
profile_ferry_captain,humanity_voice,4.9722
profile_ferry_captain,overall,4.3611
profile_ferry_captain,simplicity,4.1389
profile_ferry_captain,specificity_precision,4.9167
profile_ferry_captain,structure_flow,4.1667
profile_public_defender,brevity_economy,3.8889
profile_public_defender,clarity,4.5
profile_public_defender,humanity_voice,4.6389
profile_public_defender,overall,4.1111
profile_public_defender,simplicity,4.0278
profile_public_defender,specificity_precision,4.5278
profile_public_defender,structure_flow,4.0
profile_school_custodian,brevity_economy,4.0833
profile_school_custodian,clarity,4.5278
profile_school_custodian,humanity_voice,4.6667
profile_school_custodian,overall,4.25
profile_school_custodian,simplicity,4.0833
profile_school_custodian,specificity_precision,4.5
profile_school_custodian,structure_flow,4.2222
