candidate_model_id,prompt_id,prompt_category,candidate_response_text,scores
anthropic/claude-opus-4.6,explain_food_recall,explain,"Claude Opus 4.6 response to Food recall explainer.

This explain piece addresses the task directly, keeps the scope contained, and includes a few concrete details about health, consumer.","{'clarity': 2.75, 'simplicity': 2.5, 'brevity_economy': 3.0833, 'structure_flow': 3.6667, 'specificity_precision': 3.0, 'humanity_voice': 2.75, 'overall': 2.5}"
anthropic/claude-opus-4.6,explain_heat_pumps,explain,"Claude Opus 4.6 response to Heat pump explainer.

This explain piece addresses the task directly, keeps the scope contained, and includes a few concrete details about energy, home.","{'clarity': 2.75, 'simplicity': 3.3333, 'brevity_economy': 3.5, 'structure_flow': 2.4167, 'specificity_precision': 3.0, 'humanity_voice': 2.75, 'overall': 3.3333}"
anthropic/claude-opus-4.6,explain_municipal_bonds,explain,"Claude Opus 4.6 response to Municipal bonds explainer.

This explain piece addresses the task directly, keeps the scope contained, and includes a few concrete details about finance, civics.","{'clarity': 2.75, 'simplicity': 2.9167, 'brevity_economy': 3.0833, 'structure_flow': 2.8333, 'specificity_precision': 3.4167, 'humanity_voice': 2.75, 'overall': 2.9167}"
anthropic/claude-opus-4.6,explain_property_tax,explain,"Claude Opus 4.6 response to Property tax explainer.

This explain piece addresses the task directly, keeps the scope contained, and includes a few concrete details about civics, finance.","{'clarity': 2.25, 'simplicity': 2.4167, 'brevity_economy': 3.0, 'structure_flow': 3.5833, 'specificity_precision': 3.75, 'humanity_voice': 2.25, 'overall': 2.4167}"
anthropic/claude-opus-4.6,howto_neighborhood_meeting,service_howto,"Claude Opus 4.6 response to Neighborhood meeting guide.

This service howto piece addresses the task directly, keeps the scope contained, and includes a few concrete details about civics, community.","{'clarity': 2.5833, 'simplicity': 2.3333, 'brevity_economy': 3.3333, 'structure_flow': 3.9167, 'specificity_precision': 2.8333, 'humanity_voice': 2.5833, 'overall': 2.3333}"
anthropic/claude-opus-4.6,howto_report_water_leak,service_howto,"Claude Opus 4.6 response to Water leak guide.

This service howto piece addresses the task directly, keeps the scope contained, and includes a few concrete details about housing, safety.","{'clarity': 2.9167, 'simplicity': 3.0833, 'brevity_economy': 3.25, 'structure_flow': 3.4167, 'specificity_precision': 2.3333, 'humanity_voice': 2.9167, 'overall': 3.0833}"
anthropic/claude-opus-4.6,howto_school_board_comment,service_howto,"Claude Opus 4.6 response to School board comment guide.

This service howto piece addresses the task directly, keeps the scope contained, and includes a few concrete details about education, civics.","{'clarity': 3.0, 'simplicity': 3.1667, 'brevity_economy': 3.3333, 'structure_flow': 3.5, 'specificity_precision': 2.0, 'humanity_voice': 3.0, 'overall': 3.1667}"
anthropic/claude-opus-4.6,memo_budget_freeze,memo,"Claude Opus 4.6 response to Budget freeze memo.

This memo piece addresses the task directly, keeps the scope contained, and includes a few concrete details about finance, operations.","{'clarity': 2.9167, 'simplicity': 3.5, 'brevity_economy': 3.25, 'structure_flow': 2.5833, 'specificity_precision': 2.75, 'humanity_voice': 2.9167, 'overall': 3.5}"
anthropic/claude-opus-4.6,memo_incident_response,memo,"Claude Opus 4.6 response to Incident response memo.

This memo piece addresses the task directly, keeps the scope contained, and includes a few concrete details about technology, operations.","{'clarity': 3.25, 'simplicity': 3.4167, 'brevity_economy': 3.1667, 'structure_flow': 2.5, 'specificity_precision': 2.6667, 'humanity_voice': 3.25, 'overall': 3.4167}"
anthropic/claude-opus-4.6,memo_remote_work_policy,memo,"Claude Opus 4.6 response to Remote work memo.

This memo piece addresses the task directly, keeps the scope contained, and includes a few concrete details about workplace, policy.","{'clarity': 2.75, 'simplicity': 2.9167, 'brevity_economy': 3.0833, 'structure_flow': 2.8333, 'specificity_precision': 3.4167, 'humanity_voice': 2.75, 'overall': 2.9167}"
anthropic/claude-opus-4.6,memo_schedule_change,memo,"Claude Opus 4.6 response to Schedule change memo.

This memo piece addresses the task directly, keeps the scope contained, and includes a few concrete details about operations, workplace.","{'clarity': 2.1667, 'simplicity': 3.1667, 'brevity_economy': 3.75, 'structure_flow': 3.9167, 'specificity_precision': 2.0, 'humanity_voice': 2.1667, 'overall': 3.1667}"
anthropic/claude-opus-4.6,oped_bus_lanes,persuasion_oped,"Claude Opus 4.6 response to Bus lanes op-ed.

This persuasion oped piece addresses the task directly, keeps the scope contained, and includes a few concrete details about transportation, policy.","{'clarity': 2.8333, 'simplicity': 3.0, 'brevity_economy': 3.1667, 'structure_flow': 2.9167, 'specificity_precision': 3.0833, 'humanity_voice': 2.8333, 'overall': 3.0}"
anthropic/claude-opus-4.6,oped_corner_store,persuasion_oped,"Claude Opus 4.6 response to Corner store zoning op-ed.

This persuasion oped piece addresses the task directly, keeps the scope contained, and includes a few concrete details about urbanism, community.","{'clarity': 3.75, 'simplicity': 3.0833, 'brevity_economy': 2.4167, 'structure_flow': 2.5833, 'specificity_precision': 3.1667, 'humanity_voice': 3.75, 'overall': 3.0833}"
