candidate_model_id,clarity,simplicity,brevity_economy,structure_flow,specificity_precision,humanity_voice,overall
anthropic/claude-opus-4.6,4.6667,4.4833,4.1667,3.85,4.65,4.55,3.95
anthropic/claude-sonnet-4.6,4.6834,4.5834,4.3,3.8667,4.6167,4.5667,3.8833
deepseek/deepseek-v3.2,4.65,4.3167,4.0333,3.95,4.3167,4.2833,3.8
google/gemini-3.1-flash-lite-preview,4.9833,4.1833,4.25,5.0,4.3333,4.4167,4.65
google/gemini-3.1-pro-preview,5.0,4.2833,4.3,5.0,4.7833,4.7167,4.9167
minimax/minimax-m2.5,4.6141,4.5439,4.0526,3.8597,4.1403,4.3333,3.7193
moonshotai/kimi-k2.5,4.7895,4.2807,4.4035,4.3158,4.7193,4.614,4.2632
openai/gpt-5.3-chat,4.8,4.8167,4.45,4.25,4.45,4.35,4.3
openai/gpt-5.4,4.6333,4.6833,4.1833,3.7167,4.3167,4.4,3.8
qwen/qwen3.5-35b-a3b,3.25,3.2167,2.75,2.6167,3.1833,2.8667,2.5333
x-ai/grok-4.1-fast,4.7167,4.0167,4.0,3.9,4.65,4.4833,3.8667
z-ai/glm-5,4.7895,4.4211,4.2105,4.2982,4.6491,4.5965,4.193
