candidate_model_id,axis,score
anthropic/claude-opus-4.6,brevity_economy,3.1917
anthropic/claude-opus-4.6,clarity,2.8167
anthropic/claude-opus-4.6,humanity_voice,2.8167
anthropic/claude-opus-4.6,overall,3.0042
anthropic/claude-opus-4.6,simplicity,3.0042
anthropic/claude-opus-4.6,specificity_precision,2.8792
anthropic/claude-opus-4.6,structure_flow,3.1083
anthropic/claude-sonnet-4.6,brevity_economy,3.0542
anthropic/claude-sonnet-4.6,clarity,2.9917
anthropic/claude-sonnet-4.6,humanity_voice,2.9917
anthropic/claude-sonnet-4.6,overall,2.9917
anthropic/claude-sonnet-4.6,simplicity,2.9917
anthropic/claude-sonnet-4.6,specificity_precision,3.0542
anthropic/claude-sonnet-4.6,structure_flow,2.9083
deepseek/deepseek-v3.2,brevity_economy,2.9833
deepseek/deepseek-v3.2,clarity,3.0458
deepseek/deepseek-v3.2,humanity_voice,3.0458
deepseek/deepseek-v3.2,overall,3.0458
deepseek/deepseek-v3.2,simplicity,3.0458
deepseek/deepseek-v3.2,specificity_precision,2.9625
deepseek/deepseek-v3.2,structure_flow,2.9625
google/gemini-3.1-flash-lite-preview,brevity_economy,3.1042
google/gemini-3.1-flash-lite-preview,clarity,2.8958
google/gemini-3.1-flash-lite-preview,humanity_voice,2.8958
google/gemini-3.1-flash-lite-preview,overall,2.8958
google/gemini-3.1-flash-lite-preview,simplicity,2.8958
google/gemini-3.1-flash-lite-preview,specificity_precision,3.0833
google/gemini-3.1-flash-lite-preview,structure_flow,3.0208
google/gemini-3.1-pro-preview,brevity_economy,3.0208
google/gemini-3.1-pro-preview,clarity,3.0
google/gemini-3.1-pro-preview,humanity_voice,3.0
google/gemini-3.1-pro-preview,overall,3.0417
google/gemini-3.1-pro-preview,simplicity,3.0417
google/gemini-3.1-pro-preview,specificity_precision,2.8542
google/gemini-3.1-pro-preview,structure_flow,3.0833
minimax/minimax-m2.5,brevity_economy,2.9083
minimax/minimax-m2.5,clarity,3.1375
minimax/minimax-m2.5,humanity_voice,3.1375
minimax/minimax-m2.5,overall,2.8667
minimax/minimax-m2.5,simplicity,2.8667
minimax/minimax-m2.5,specificity_precision,2.9708
minimax/minimax-m2.5,structure_flow,3.1167
moonshotai/kimi-k2.5,brevity_economy,3.0083
moonshotai/kimi-k2.5,clarity,3.05
moonshotai/kimi-k2.5,humanity_voice,3.05
moonshotai/kimi-k2.5,overall,2.9875
moonshotai/kimi-k2.5,simplicity,2.9875
moonshotai/kimi-k2.5,specificity_precision,3.0083
moonshotai/kimi-k2.5,structure_flow,2.9458
openai/gpt-5.3-chat,brevity_economy,2.9833
openai/gpt-5.3-chat,clarity,2.8375
openai/gpt-5.3-chat,humanity_voice,2.8375
openai/gpt-5.3-chat,overall,2.9
openai/gpt-5.3-chat,simplicity,2.9
openai/gpt-5.3-chat,specificity_precision,3.2333
openai/gpt-5.3-chat,structure_flow,3.0458
openai/gpt-5.4,brevity_economy,2.9417
openai/gpt-5.4,clarity,2.9833
openai/gpt-5.4,humanity_voice,2.9833
openai/gpt-5.4,overall,3.025
openai/gpt-5.4,simplicity,3.025
openai/gpt-5.4,specificity_precision,3.0875
openai/gpt-5.4,structure_flow,2.9625
qwen/qwen3.5-35b-a3b,brevity_economy,3.0667
qwen/qwen3.5-35b-a3b,clarity,2.9625
qwen/qwen3.5-35b-a3b,humanity_voice,2.9625
qwen/qwen3.5-35b-a3b,overall,2.9417
qwen/qwen3.5-35b-a3b,simplicity,2.9417
qwen/qwen3.5-35b-a3b,specificity_precision,3.0042
qwen/qwen3.5-35b-a3b,structure_flow,3.025
x-ai/grok-4.1-fast,brevity_economy,3.1042
x-ai/grok-4.1-fast,clarity,3.0208
x-ai/grok-4.1-fast,humanity_voice,3.0208
x-ai/grok-4.1-fast,overall,3.0208
x-ai/grok-4.1-fast,simplicity,3.0208
x-ai/grok-4.1-fast,specificity_precision,2.9167
x-ai/grok-4.1-fast,structure_flow,2.9375
z-ai/glm-5,brevity_economy,2.95
z-ai/glm-5,clarity,3.075
z-ai/glm-5,humanity_voice,3.075
z-ai/glm-5,overall,2.8458
z-ai/glm-5,simplicity,2.8458
z-ai/glm-5,specificity_precision,3.1375
z-ai/glm-5,structure_flow,2.9917
