candidate_model_id,clarity,simplicity,brevity_economy,structure_flow,specificity_precision,humanity_voice,overall,criteria_average,overall_average,criteria_minus_overall
anthropic/claude-opus-4.6,5.0,4.6334,4.2833,5.0,4.9333,4.8667,4.9667,4.7861,4.9667,-0.1806
anthropic/claude-sonnet-4.6,5.0,4.5834,4.4833,5.0,4.95,4.85,5.0,4.8111,5.0,-0.1889
deepseek/deepseek-v3.2,5.0,4.25,4.35,5.0,4.6125,4.5625,4.8125,4.6292,4.8125,-0.1833
google/gemini-3.1-flash-lite-preview,5.0,4.15,4.2333,5.0,4.4333,4.4333,4.7167,4.5417,4.7167,-0.175
google/gemini-3.1-pro-preview,5.0,4.4,4.2667,5.0,4.7,4.7,4.9333,4.6778,4.9333,-0.2555
minimax/minimax-m2.5,4.9875,4.6,4.2,4.9875,4.4,4.55,4.7125,4.6208,4.7125,-0.0917
moonshotai/kimi-k2.5,4.9875,4.475,4.4625,4.9875,4.9375,4.7875,4.975,4.7729,4.975,-0.2021
openai/gpt-5.3-chat,5.0,4.9833,4.75,4.9833,4.5,4.5,4.8333,4.7861,4.8333,-0.0472
openai/gpt-5.4,5.0,4.8167,4.0,5.0,4.6833,4.6667,4.85,4.6944,4.85,-0.1556
qwen/qwen3.5-35b-a3b,4.7625,4.2,3.5,4.45,4.3375,4.2375,4.2375,4.2479,4.2375,0.0104
x-ai/grok-4.1-fast,4.9625,4.175,4.125,4.9875,4.7875,4.55,4.65,4.5979,4.65,-0.0521
z-ai/glm-5,5.0,4.3667,4.3333,5.0,4.7333,4.5,4.85,4.6556,4.85,-0.1944
