candidate_model_id,prompt_id,score
anthropic/claude-opus-4.6,explain_food_recall,3.9524
anthropic/claude-opus-4.6,explain_heat_pumps,4.0952
anthropic/claude-opus-4.6,explain_municipal_bonds,4.2857
anthropic/claude-opus-4.6,explain_property_tax,4.0952
anthropic/claude-opus-4.6,howto_neighborhood_meeting,4.381
anthropic/claude-opus-4.6,howto_report_water_leak,4.5714
anthropic/claude-opus-4.6,howto_school_board_comment,4.6667
anthropic/claude-opus-4.6,memo_budget_freeze,3.8095
anthropic/claude-opus-4.6,memo_incident_response,4.4286
anthropic/claude-opus-4.6,memo_remote_work_policy,4.0952
anthropic/claude-opus-4.6,memo_schedule_change,4.8095
anthropic/claude-opus-4.6,oped_bus_lanes,4.4762
anthropic/claude-opus-4.6,oped_corner_store,4.2381
anthropic/claude-opus-4.6,oped_library_hours,4.5238
anthropic/claude-opus-4.6,personal_first_day_union_job,4.8571
anthropic/claude-opus-4.6,personal_night_shift_bus,4.4286
anthropic/claude-opus-4.6,personal_public_pool,4.4286
anthropic/claude-opus-4.6,profile_ferry_captain,4.5
anthropic/claude-opus-4.6,profile_public_defender,4.6667
anthropic/claude-opus-4.6,profile_school_custodian,4.6667
anthropic/claude-sonnet-4.6,explain_food_recall,4.2381
anthropic/claude-sonnet-4.6,explain_heat_pumps,4.2857
anthropic/claude-sonnet-4.6,explain_municipal_bonds,4.5238
anthropic/claude-sonnet-4.6,explain_property_tax,4.381
anthropic/claude-sonnet-4.6,howto_neighborhood_meeting,4.2381
anthropic/claude-sonnet-4.6,howto_report_water_leak,4.4286
anthropic/claude-sonnet-4.6,howto_school_board_comment,4.381
anthropic/claude-sonnet-4.6,memo_budget_freeze,3.6667
anthropic/claude-sonnet-4.6,memo_incident_response,3.9048
anthropic/claude-sonnet-4.6,memo_remote_work_policy,4.0
anthropic/claude-sonnet-4.6,memo_schedule_change,4.1905
anthropic/claude-sonnet-4.6,oped_bus_lanes,4.5238
anthropic/claude-sonnet-4.6,oped_corner_store,4.2381
anthropic/claude-sonnet-4.6,oped_library_hours,4.619
anthropic/claude-sonnet-4.6,personal_first_day_union_job,4.4762
anthropic/claude-sonnet-4.6,personal_night_shift_bus,4.6667
anthropic/claude-sonnet-4.6,personal_public_pool,4.2857
anthropic/claude-sonnet-4.6,profile_ferry_captain,4.4762
anthropic/claude-sonnet-4.6,profile_public_defender,4.619
anthropic/claude-sonnet-4.6,profile_school_custodian,4.2857
deepseek/deepseek-v3.2,explain_food_recall,3.8571
deepseek/deepseek-v3.2,explain_heat_pumps,3.9048
deepseek/deepseek-v3.2,explain_municipal_bonds,4.8095
deepseek/deepseek-v3.2,explain_property_tax,3.619
deepseek/deepseek-v3.2,howto_neighborhood_meeting,4.7619
deepseek/deepseek-v3.2,howto_report_water_leak,4.1429
deepseek/deepseek-v3.2,howto_school_board_comment,3.9048
deepseek/deepseek-v3.2,memo_budget_freeze,3.619
deepseek/deepseek-v3.2,memo_incident_response,4.4286
deepseek/deepseek-v3.2,memo_remote_work_policy,3.4762
deepseek/deepseek-v3.2,memo_schedule_change,4.381
deepseek/deepseek-v3.2,oped_bus_lanes,4.2857
deepseek/deepseek-v3.2,oped_corner_store,3.8571
deepseek/deepseek-v3.2,oped_library_hours,3.619
deepseek/deepseek-v3.2,personal_first_day_union_job,3.7619
deepseek/deepseek-v3.2,personal_night_shift_bus,4.1905
deepseek/deepseek-v3.2,personal_public_pool,4.8095
deepseek/deepseek-v3.2,profile_ferry_captain,4.0952
deepseek/deepseek-v3.2,profile_public_defender,3.8571
deepseek/deepseek-v3.2,profile_school_custodian,4.8095
google/gemini-3.1-flash-lite-preview,explain_food_recall,1.1429
google/gemini-3.1-flash-lite-preview,explain_heat_pumps,2.7143
google/gemini-3.1-flash-lite-preview,explain_municipal_bonds,1.3333
google/gemini-3.1-flash-lite-preview,explain_property_tax,1.9524
google/gemini-3.1-flash-lite-preview,howto_neighborhood_meeting,1.3333
google/gemini-3.1-flash-lite-preview,howto_report_water_leak,2.1429
google/gemini-3.1-flash-lite-preview,howto_school_board_comment,1.1429
google/gemini-3.1-flash-lite-preview,memo_budget_freeze,1.0
google/gemini-3.1-flash-lite-preview,memo_incident_response,2.2381
google/gemini-3.1-flash-lite-preview,memo_remote_work_policy,1.9524
google/gemini-3.1-flash-lite-preview,memo_schedule_change,1.2381
google/gemini-3.1-flash-lite-preview,oped_bus_lanes,1.0952
google/gemini-3.1-flash-lite-preview,oped_corner_store,2.4762
google/gemini-3.1-flash-lite-preview,oped_library_hours,1.7143
google/gemini-3.1-flash-lite-preview,personal_first_day_union_job,1.4762
google/gemini-3.1-flash-lite-preview,personal_night_shift_bus,1.1429
google/gemini-3.1-flash-lite-preview,personal_public_pool,1.7143
google/gemini-3.1-flash-lite-preview,profile_ferry_captain,2.2381
google/gemini-3.1-flash-lite-preview,profile_public_defender,2.6667
google/gemini-3.1-flash-lite-preview,profile_school_custodian,1.2857
google/gemini-3.1-pro-preview,explain_food_recall,1.0952
google/gemini-3.1-pro-preview,explain_heat_pumps,1.0952
google/gemini-3.1-pro-preview,explain_municipal_bonds,1.9048
google/gemini-3.1-pro-preview,explain_property_tax,1.1905
google/gemini-3.1-pro-preview,howto_neighborhood_meeting,1.0
google/gemini-3.1-pro-preview,howto_report_water_leak,1.0476
google/gemini-3.1-pro-preview,howto_school_board_comment,1.0
google/gemini-3.1-pro-preview,memo_budget_freeze,1.0476
google/gemini-3.1-pro-preview,memo_incident_response,1.0
google/gemini-3.1-pro-preview,memo_remote_work_policy,1.0
google/gemini-3.1-pro-preview,memo_schedule_change,1.0476
google/gemini-3.1-pro-preview,oped_bus_lanes,1.0
google/gemini-3.1-pro-preview,oped_corner_store,1.3333
google/gemini-3.1-pro-preview,oped_library_hours,1.3333
google/gemini-3.1-pro-preview,personal_first_day_union_job,1.8571
google/gemini-3.1-pro-preview,personal_night_shift_bus,2.0
google/gemini-3.1-pro-preview,personal_public_pool,3.1905
google/gemini-3.1-pro-preview,profile_ferry_captain,1.7143
google/gemini-3.1-pro-preview,profile_public_defender,1.5238
google/gemini-3.1-pro-preview,profile_school_custodian,1.6667
minimax/minimax-m2.5,explain_food_recall,3.4286
minimax/minimax-m2.5,explain_heat_pumps,4.3333
minimax/minimax-m2.5,explain_municipal_bonds,4.1905
minimax/minimax-m2.5,explain_property_tax,3.8571
minimax/minimax-m2.5,howto_neighborhood_meeting,4.381
minimax/minimax-m2.5,howto_report_water_leak,4.0
minimax/minimax-m2.5,howto_school_board_comment,4.1905
minimax/minimax-m2.5,memo_budget_freeze,3.5714
minimax/minimax-m2.5,memo_incident_response,3.1429
minimax/minimax-m2.5,memo_remote_work_policy,3.4762
minimax/minimax-m2.5,memo_schedule_change,4.5714
minimax/minimax-m2.5,oped_bus_lanes,3.1905
minimax/minimax-m2.5,oped_corner_store,3.9524
minimax/minimax-m2.5,oped_library_hours,4.3333
minimax/minimax-m2.5,personal_first_day_union_job,4.619
minimax/minimax-m2.5,personal_night_shift_bus,4.1905
minimax/minimax-m2.5,personal_public_pool,4.1905
minimax/minimax-m2.5,profile_ferry_captain,4.5238
minimax/minimax-m2.5,profile_public_defender,4.5238
minimax/minimax-m2.5,profile_school_custodian,4.7619
moonshotai/kimi-k2.5,explain_food_recall,3.9524
moonshotai/kimi-k2.5,explain_heat_pumps,4.8095
moonshotai/kimi-k2.5,explain_municipal_bonds,4.8571
moonshotai/kimi-k2.5,explain_property_tax,3.4762
moonshotai/kimi-k2.5,howto_neighborhood_meeting,4.0476
moonshotai/kimi-k2.5,howto_report_water_leak,4.0
moonshotai/kimi-k2.5,howto_school_board_comment,4.0
moonshotai/kimi-k2.5,memo_budget_freeze,4.619
moonshotai/kimi-k2.5,memo_incident_response,3.8095
moonshotai/kimi-k2.5,memo_remote_work_policy,1.0
moonshotai/kimi-k2.5,memo_schedule_change,2.9524
moonshotai/kimi-k2.5,oped_bus_lanes,4.1429
moonshotai/kimi-k2.5,oped_corner_store,2.0476
moonshotai/kimi-k2.5,oped_library_hours,4.0476
moonshotai/kimi-k2.5,personal_first_day_union_job,4.8571
moonshotai/kimi-k2.5,personal_night_shift_bus,4.7619
moonshotai/kimi-k2.5,personal_public_pool,3.2857
moonshotai/kimi-k2.5,profile_ferry_captain,2.6667
moonshotai/kimi-k2.5,profile_public_defender,3.1429
moonshotai/kimi-k2.5,profile_school_custodian,4.8095
openai/gpt-5.3-chat,explain_food_recall,4.2857
openai/gpt-5.3-chat,explain_heat_pumps,4.5714
openai/gpt-5.3-chat,explain_municipal_bonds,4.7619
openai/gpt-5.3-chat,explain_property_tax,4.0476
openai/gpt-5.3-chat,howto_neighborhood_meeting,4.0952
openai/gpt-5.3-chat,howto_report_water_leak,4.1905
openai/gpt-5.3-chat,howto_school_board_comment,4.2381
openai/gpt-5.3-chat,memo_budget_freeze,4.5238
openai/gpt-5.3-chat,memo_incident_response,4.3333
openai/gpt-5.3-chat,memo_remote_work_policy,4.5714
openai/gpt-5.3-chat,memo_schedule_change,4.9048
openai/gpt-5.3-chat,oped_bus_lanes,4.0476
openai/gpt-5.3-chat,oped_corner_store,4.5238
openai/gpt-5.3-chat,oped_library_hours,4.3333
openai/gpt-5.3-chat,personal_first_day_union_job,4.3333
openai/gpt-5.3-chat,personal_night_shift_bus,4.6667
openai/gpt-5.3-chat,personal_public_pool,4.8095
openai/gpt-5.3-chat,profile_ferry_captain,4.5714
openai/gpt-5.3-chat,profile_public_defender,4.5238
openai/gpt-5.3-chat,profile_school_custodian,4.4762
openai/gpt-5.4,explain_food_recall,3.9524
openai/gpt-5.4,explain_heat_pumps,4.0952
openai/gpt-5.4,explain_municipal_bonds,4.1905
openai/gpt-5.4,explain_property_tax,3.9048
openai/gpt-5.4,howto_neighborhood_meeting,4.2381
openai/gpt-5.4,howto_report_water_leak,4.0476
openai/gpt-5.4,howto_school_board_comment,4.7619
openai/gpt-5.4,memo_budget_freeze,3.9048
openai/gpt-5.4,memo_incident_response,3.5714
openai/gpt-5.4,memo_remote_work_policy,3.5714
openai/gpt-5.4,memo_schedule_change,3.9048
openai/gpt-5.4,oped_bus_lanes,4.1905
openai/gpt-5.4,oped_corner_store,4.1429
openai/gpt-5.4,oped_library_hours,4.619
openai/gpt-5.4,personal_first_day_union_job,3.5238
openai/gpt-5.4,personal_night_shift_bus,4.2143
openai/gpt-5.4,personal_public_pool,4.8095
openai/gpt-5.4,profile_ferry_captain,4.4286
openai/gpt-5.4,profile_public_defender,3.3333
openai/gpt-5.4,profile_school_custodian,4.5238
qwen/qwen3.5-35b-a3b,explain_food_recall,1.2381
qwen/qwen3.5-35b-a3b,explain_heat_pumps,3.6667
qwen/qwen3.5-35b-a3b,explain_municipal_bonds,4.3333
qwen/qwen3.5-35b-a3b,explain_property_tax,1.2857
qwen/qwen3.5-35b-a3b,howto_neighborhood_meeting,1.3333
qwen/qwen3.5-35b-a3b,howto_report_water_leak,4.0952
qwen/qwen3.5-35b-a3b,howto_school_board_comment,3.8571
qwen/qwen3.5-35b-a3b,memo_budget_freeze,2.8095
qwen/qwen3.5-35b-a3b,memo_incident_response,4.2381
qwen/qwen3.5-35b-a3b,memo_remote_work_policy,4.2857
qwen/qwen3.5-35b-a3b,memo_schedule_change,4.8095
qwen/qwen3.5-35b-a3b,oped_bus_lanes,1.2857
qwen/qwen3.5-35b-a3b,oped_corner_store,3.8571
qwen/qwen3.5-35b-a3b,oped_library_hours,1.2857
qwen/qwen3.5-35b-a3b,personal_first_day_union_job,1.0952
qwen/qwen3.5-35b-a3b,personal_night_shift_bus,4.0476
qwen/qwen3.5-35b-a3b,personal_public_pool,4.0
qwen/qwen3.5-35b-a3b,profile_ferry_captain,4.0476
qwen/qwen3.5-35b-a3b,profile_public_defender,1.2857
qwen/qwen3.5-35b-a3b,profile_school_custodian,1.1905
x-ai/grok-4.1-fast,explain_food_recall,3.8095
x-ai/grok-4.1-fast,explain_heat_pumps,4.5714
x-ai/grok-4.1-fast,explain_municipal_bonds,4.7143
x-ai/grok-4.1-fast,explain_property_tax,3.6667
x-ai/grok-4.1-fast,howto_neighborhood_meeting,4.2381
x-ai/grok-4.1-fast,howto_report_water_leak,4.0
x-ai/grok-4.1-fast,howto_school_board_comment,3.9048
x-ai/grok-4.1-fast,memo_budget_freeze,4.8095
x-ai/grok-4.1-fast,memo_incident_response,4.381
x-ai/grok-4.1-fast,memo_remote_work_policy,4.381
x-ai/grok-4.1-fast,memo_schedule_change,4.8095
x-ai/grok-4.1-fast,oped_bus_lanes,4.0
x-ai/grok-4.1-fast,oped_corner_store,3.9048
x-ai/grok-4.1-fast,oped_library_hours,3.8095
x-ai/grok-4.1-fast,personal_first_day_union_job,4.0476
x-ai/grok-4.1-fast,personal_night_shift_bus,3.619
x-ai/grok-4.1-fast,personal_public_pool,3.7143
x-ai/grok-4.1-fast,profile_ferry_captain,4.0476
x-ai/grok-4.1-fast,profile_public_defender,4.1429
x-ai/grok-4.1-fast,profile_school_custodian,4.0476
z-ai/glm-5,explain_food_recall,4.7619
z-ai/glm-5,explain_heat_pumps,4.381
z-ai/glm-5,explain_municipal_bonds,4.2857
z-ai/glm-5,explain_property_tax,3.8571
z-ai/glm-5,howto_neighborhood_meeting,4.2381
z-ai/glm-5,howto_report_water_leak,4.8095
z-ai/glm-5,howto_school_board_comment,4.1905
z-ai/glm-5,memo_budget_freeze,4.5714
z-ai/glm-5,memo_incident_response,4.5238
z-ai/glm-5,memo_remote_work_policy,3.8095
z-ai/glm-5,memo_schedule_change,4.7143
z-ai/glm-5,oped_bus_lanes,4.0476
z-ai/glm-5,oped_corner_store,4.7143
